PSOTIVOS: 
(('남북', 'NNG'), 2998)  Dos coreas
(('해소', 'NNG'), 5)
(('계속', 'NNG'), 5)
(('이익', 'NNG'), 5)
(('요청', 'NNG'), 5)
(('뇌', 'NNG'), 5)
(('발목', 'NNG'), 5)
(('꼼수', 'NNG'), 5)
(('병풍', 'NNG'), 5)
(('영부인', 'NNG'), 5)
(('배치', 'NNG'), 5)
(('대동강', 'NNP'), 5)
(('맥주', 'NNG'), 5)
(('만원', 'NNG'), 5)
(('작품', 'NNG'), 5)
(('개독', 'NNG'), 5)
(('키워드', 'NNG'), 5)
(('교', 'NNG'), 5)
(('우성', 'NNG'), 5)
(('상호', 'NNG'), 5)
(('인도', 'NNG'), 5)
(('점검', 'NNG'), 5)
(('라니', 'NNP'), 5)
(('모양새', 'NNG'), 5)
(('새벽', 'NNG'), 5)
(('제', 'NNG'), 5)
(('성사', 'NNG'), 5)
(('교통망', 'NNG'), 5)
(('아리랑', 'NNG'), 5)
(('히', 'NNG'), 5)
(('일정', 'NNG'), 5)
(('여운', 'NNG'), 5)
(('구성', 'NNG'), 5)
(('것', 'NNM'), 5)
(('권력', 'NNG'), 5)
(('민주주의', 'NNG'), 5)
(('기본', 'NNG'), 5)
(('채널', 'NNG'), 5)
(('거리', 'NNG'), 5)
(('가', 'NNG'), 5)
(('덕분', 'NNG'), 5)
(('동생', 'NNG'), 5)
(('120', 'NR'), 5)
(('놈', 'NNB'), 5)
(('석방', 'NNG'), 5)
(('3000', 'NR'), 5)
(('지구', 'NNG'), 5)
(('페이지', 'NNG'), 5)
(('동네', 'NNG'), 5)
(('09', 'NR'), 5)
(('석', 'NNG'), 5)
(('위원', 'NNG'), 5)
(('록', 'NNG'), 5)
(('국정', 'NNG'), 5)
(('다', 'NNG'), 5)
(('걱정', 'NNG'), 5)
(('한마디', 'NNG'), 5)
(('가시', 'NNG'), 5)
(('님', 'NNB'), 5)
(('내일', 'NNG'), 5)
(('도로', 'NNG'), 5)
(('반', 'NNG'), 5)
(('추천', 'NNG'), 5)
(('해결', 'NNG'), 5)
(('원진', 'NNP'), 5)
(('결산', 'NNG'), 5)
(('연예', 'NNG'), 5)
(('포인트', 'NNG'), 5)
(('울산', 'NNG'), 5)
(('카타르', 'NNG'), 5)
(('키', 'NNG'), 5)
(('세종', 'NNG'), 5)
(('설치', 'NNG'), 5)
(('존경', 'NNG'), 5)
(('연결', 'NNG'), 5)
(('매', 'NNG'), 5)
(('예상', 'NNG'), 5)
(('인기', 'NNG'), 5)
(('기독교', 'NNG'), 5)
(('건설', 'NNG'), 5)
(('동해', 'NNG'), 5)
(('하면서', 'NNG'), 5)
(('96', 'NR'), 5)
(('재', 'NNB'), 5)
(('방문', 'NNG'), 5)
(('재미', 'NNG'), 5)
(('365', 'NR'), 5)
(('73', 'NR'), 5)
(('여행', 'NNG'), 5)
(('갤럽', 'NNG'), 5)
(('친구', 'NNG'), 5)
(('결집', 'NNG'), 5)
(('곤경', 'NNG'), 5)
(('번', 'NNM'), 5)
(('스타', 'NNG'), 5)
(('평소', 'NNG'), 5)
(('귀', 'NNG'), 5)
(('최근', 'NNG'), 5)
(('박지원', 'NNG'), 5)
(('찬장', 'NNG'), 5)
(('종일', 'NNG'), 5)
(('마무리', 'NNG'), 5)
(('김정일', 'NNG'), 5)
(('감동적', 'NNG'), 5)
(('개봉', 'NNG'), 5)
(('박두', 'NNG'), 5)
(('국회의원', 'NNG'), 5)
(('일부', 'NNG'), 5)
(('거부', 'NNG'), 5)
(('요람', 'NNG'), 5)
(('체', 'NNG'), 5)
(('한인', 'NNG'), 5)
(('유학생', 'NNG'), 5)
(('말씀', 'NNG'), 5)
(('주책', 'NNG'), 5)
(('포기', 'NNG'), 5)
(('수준', 'NNG'), 5)
(('환영사', 'NNG'), 5)
(('필', 'NNG'), 5)
(('간', 'NNG'), 5)
(('리처드', 'NNG'), 5)
(('찬', 'NNG'), 5)
(('심', 'NNG'), 5)
(('올해', 'NNG'), 5)
(('할애', 'NNG'), 5)
(('혼자', 'NNG'), 5)
(('주세', 'NNG'), 5)
(('엄마', 'NNG'), 5)
(('부대', 'NNG'), 5)
(('기독교도', 'NNG'), 5)
(('종환', 'NNG'), 5)
(('세월', 'NNG'), 5)
(('우리나라', 'NNG'), 5)
(('위원회', 'NNG'), 5)
(('가족', 'NNG'), 5)
(('이젠', 'NNP'), 5)
(('수고', 'NNG'), 5)
(('실', 'NNG'), 5)
(('야', 'NNG'), 5)
(('빨갱이', 'NNG'), 5)
(('결단', 'NNG'), 5)
(('형제', 'NNG'), 5)
(('답', 'NNG'), 5)
(('환희', 'NNG'), 5)
(('신뢰', 'NNG'), 5)
(('제공', 'NNG'), 5)
(('무성', 'NNG'), 5)
(('시험', 'NNG'), 5)
(('어머니', 'NNG'), 5)
(('패널', 'NNG'), 5)
(('인물', 'NNG'), 5)
(('마라', 'NNG'), 5)
(('질서', 'NNG'), 5)
(('쌀', 'NNG'), 5)
(('다수', 'NNG'), 5)
(('저희', 'NP'), 5)
(('대책', 'NNG'), 5)
(('천', 'NNG'), 5)
(('대성공', 'NNG'), 5)
(('드림', 'NNG'), 5)
(('사설', 'NNG'), 5)
(('밴드', 'NNG'), 5)
(('내달', 'NNG'), 4)
(('본회의', 'NNG'), 4)
(('실망', 'NNG'), 4)
(('원장', 'NNG'), 4)
(('신중', 'NNG'), 4)
(('남자', 'NNG'), 4)
(('그간', 'NNG'), 4)
(('형님', 'NNG'), 4)
(('요', 'NNG'), 4)
(('예비', 'NNG'), 4)
(('단어', 'NNG'), 4)
(('감격적', 'NNG'), 4)
(('시', 'NNB'), 4)
(('32.4', 'NR'), 4)
(('국방장관', 'NNG'), 4)
(('전념', 'NNG'), 4)
(('매티스', 'NNG'), 4)
(('재확인', 'NNG'), 4)
(('똥', 'NNG'), 4)
(('이건', 'NNP'), 4)
(('성장', 'NNG'), 4)
(('외벽', 'NNG'), 4)
(('사진관', 'NNG'), 4)
(('토요일', 'NNG'), 4)
(('독재자', 'NNG'), 4)
(('로드', 'NNG'), 4)
(('몫', 'NNG'), 4)
(('돼지', 'NNG'), 4)
(('똥파리', 'NNG'), 4)
(('쌍둥이', 'NNG'), 4)
(('브레이크', 'NNG'), 4)
(('현재', 'NNG'), 4)
(('응답', 'NNG'), 4)
(('방해', 'NNG'), 4)
(('교도관', 'NNG'), 4)
(('앙탈', 'NNG'), 4)
(('별종', 'NNG'), 4)
(('장외', 'NNG'), 4)
(('혼미', 'NNG'), 4)
(('방향감', 'NNG'), 4)
(('실수', 'NNG'), 4)
(('발견', 'NNG'), 4)
(('캔', 'NNG'), 4)
(('간의', 'NNG'), 4)
(('통일부', 'NNG'), 4)
(('조치', 'NNG'), 4)
(('시절', 'NNG'), 4)
(('99', 'NR'), 4)
(('모닝', 'NNG'), 4)
(('와우', 'NNG'), 4)
(('감정', 'NNG'), 4)
(('물류', 'NNG'), 4)
(('장', 'NNM'), 4)
(('자존심', 'NNG'), 4)
(('아사', 'NNG'), 4)
(('세기', 'NNG'), 4)
(('출연', 'NNG'), 4)
(('박원', 'NNG'), 4)
(('23', 'NR'), 4)
(('동영', 'NNP'), 4)
(('오소리', 'NNG'), 4)
(('조작', 'NNG'), 4)
(('40', 'NR'), 4)
(('영식', 'NNG'), 4)
(('워싱턴', 'NNG'), 4)
(('르', 'NNG'), 4)
(('사과', 'NNG'), 4)
(('반성', 'NNG'), 4)
(('찬성', 'NNG'), 4)
(('불가', 'NNG'), 4)
(('적인', 'NNG'), 4)
(('마을', 'NNG'), 4)
(('지구촌', 'NNG'), 4)
(('찬사', 'NNG'), 4)
(('자멸', 'NNG'), 4)
(('본부', 'NNG'), 4)
(('소속', 'NNG'), 4)
(('서울역', 'NNG'), 4)
(('42', 'NR'), 4)
(('저널', 'NNG'), 4)
(('밖', 'NNG'), 4)
(('올림', 'NNG'), 4)
(('의도', 'NNG'), 4)
(('우익', 'NNG'), 4)
(('지면', 'NNG'), 4)
(('독재', 'NNG'), 4)
(('이래', 'NNB'), 4)
(('정보', 'NNG'), 4)
(('독', 'NNG'), 4)
(('설', 'NNG'), 4)
(('내', 'NNB'), 4)
(('청탁', 'NNG'), 4)
(('역', 'NNG'), 4)
(('수', 'NNG'), 4)
(('향후', 'NNG'), 4)
(('총', 'NNG'), 4)
(('대결', 'NNG'), 4)
(('당의', 'NNG'), 4)
(('백기완', 'NNP'), 4)
(('선생', 'NNG'), 4)
(('쪽', 'NNB'), 4)
(('결정', 'NNG'), 4)
(('차량', 'NNG'), 4)
(('혜경궁', 'NNG'), 4)
(('나도', 'NNG'), 4)
(('실화', 'NNG'), 4)
(('그때', 'NNG'), 4)
(('경', 'NNG'), 4)
(('우려', 'NNG'), 4)
(('스페셜', 'NNG'), 4)
(('소개', 'NNG'), 4)
(('돈', 'NNG'), 4)
(('학년', 'NNG'), 4)
(('합작', 'NNG'), 4)
(('꿀', 'NNG'), 4)
(('직', 'NNG'), 4)
(('동아', 'NNG'), 4)
(('이산가족', 'NNG'), 4)
(('증시', 'NNG'), 4)
(('조연', 'NNG'), 4)
(('상승', 'NNG'), 4)
(('자세', 'NNG'), 4)
(('발해', 'NNG'), 4)
(('진기록', 'NNG'), 4)
(('지지자', 'NNG'), 4)
(('별', 'NNG'), 4)
(('수도', 'NNG'), 4)
(('시설', 'NNG'), 4)
(('오빠', 'NNG'), 4)
(('기업', 'NNG'), 4)
(('인상적', 'NNG'), 4)
(('외국', 'NNG'), 4)
(('못', 'NNG'), 4)
(('주기', 'NNG'), 4)
(('카', 'NNG'), 4)
(('절대', 'NNG'), 4)
(('아래', 'NNG'), 4)
(('사전', 'NNG'), 4)
(('의욕', 'NNG'), 4)
(('벨', 'NNG'), 4)
(('평화상', 'NNG'), 4)
(('취재진', 'NNG'), 4)
(('2007', 'NR'), 4)
(('주관', 'NNG'), 4)
(('축복', 'NNG'), 4)
(('환', 'NNG'), 4)
(('우원', 'NNP'), 4)
(('기쁨', 'NNG'), 4)
(('백두산', 'NNP'), 4)
(('뻔', 'NNG'), 4)
(('세대', 'NNG'), 4)
(('전날', 'NNG'), 4)
(('구도', 'NNG'), 4)
(('미궁', 'NNG'), 4)
(('플레이', 'NNG'), 4)
(('공짜', 'NNG'), 4)
(('자봉', 'NNG'), 4)
(('드로', 'NNG'), 4)
(('적', 'NNG'), 4)
(('다큐', 'NNP'), 4)
(('센스', 'NNG'), 4)
(('둘', 'NNG'), 4)
(('밀담', 'NNG'), 4)
(('고민', 'NNG'), 4)
(('임종', 'NNG'), 4)
(('당원', 'NNG'), 4)
(('오', 'NR'), 4)
(('중간', 'NNG'), 4)
(('광고', 'NNG'), 4)
(('처', 'NNG'), 4)
(('중이', 'NNG'), 4)
(('만큼', 'NNB'), 4)
(('유당', 'NNG'), 4)
(('지', 'NNB'), 4)
(('발전', 'NNG'), 4)
(('과제', 'NNG'), 4)
(('협약', 'NNG'), 4)
(('광석', 'NNG'), 4)
(('와중', 'NNG'), 4)
(('민간', 'NNG'), 4)
(('탐', 'NNG'), 4)
(('욕', 'NNG'), 4)
(('타령', 'NNG'), 4)
(('호평', 'NNG'), 4)
(('정치권', 'NNG'), 4)
(('기획력', 'NNG'), 4)
(('감회', 'NNG'), 4)
(('직원', 'NNG'), 4)
(('위대', 'NNG'), 4)
(('터키', 'NNG'), 4)
(('콘', 'NNG'), 4)
(('시도', 'NNG'), 4)
(('만찬회', 'NNG'), 4)
(('국정원장', 'NNG'), 4)
(('이벤트', 'NNG'), 4)
(('자막', 'NNG'), 4)
(('충격', 'NNG'), 4)
(('무드', 'NNG'), 4)
(('샷', 'NNG'), 4)
(('20', 'NR'), 4)
(('송', 'NNG'), 4)
(('핵심', 'NNG'), 4)
(('랜드', 'NNG'), 4)
(('거수', 'NNG'), 4)
(('경례', 'NNG'), 4)
(('재향군인회', 'NNG'), 4)
(('사고', 'NNG'), 4)
(('너희', 'NP'), 4)
(('야구', 'NNG'), 4)
(('수석', 'NNG'), 4)
(('인용', 'NNG'), 4)
(('제안', 'NNG'), 4)
(('재편', 'NNG'), 4)
(('숟가락', 'NNG'), 4)
(('추락', 'NNG'), 4)
(('정재', 'NNG'), 4)
(('납치', 'NNG'), 4)
(('상의', 'NNG'), 4)
(('도움', 'NNG'), 4)
(('피날레', 'NNG'), 4)
(('러', 'NNP'), 4)
(('체육', 'NNG'), 4)
(('충', 'NNG'), 4)
(('발행', 'NNG'), 4)
(('분의', 'NNG'), 3)
(('살', 'NNG'), 3)
(('미소', 'NNG'), 3)
(('이탈리아', 'NNP'), 3)
(('뽕', 'NNG'), 3)
(('시리즈', 'NNG'), 3)
(('ㅎ', 'NNG'), 3)
(('공정', 'NNG'), 3)
(('우선', 'NNG'), 3)
(('미디어', 'NNG'), 3)
(('32.5', 'NR'), 3)
(('수도권', 'NNG'), 3)
(('한민족', 'NNG'), 3)
(('일종', 'NNG'), 3)
(('지배', 'NNG'), 3)
(('한자리', 'NNG'), 3)
(('남북통일', 'NNG'), 3)
(('강대국', 'NNG'), 3)
(('후손', 'NNG'), 3)
(('서', 'NNG'), 3)
(('하라', 'NNP'), 3)
(('활용', 'NNG'), 3)
(('광화문', 'NNG'), 3)
(('술', 'NNG'), 3)
(('불만', 'NNG'), 3)
(('피', 'NNG'), 3)
(('만약', 'NNG'), 3)
(('변화', 'NNG'), 3)
(('찬양', 'NNG'), 3)
(('자제', 'NNG'), 3)
(('그중', 'NNG'), 3)
(('나머지', 'NNG'), 3)
(('의구심', 'NNG'), 3)
(('쥐', 'NNG'), 3)
(('국정원', 'NNG'), 3)
(('사이버', 'NNG'), 3)
(('사령부', 'NNG'), 3)
(('몰이', 'NNG'), 3)
(('총격', 'NNG'), 3)
(('방향', 'NNG'), 3)
(('신문고', 'NNG'), 3)
(('수학여행', 'NNG'), 3)
(('토', 'NNG'), 3)
(('치', 'NNG'), 3)
(('유라시아', 'NNG'), 3)
(('파키스탄', 'NNG'), 3)
(('후속', 'NNG'), 3)
(('수레바퀴', 'NNG'), 3)
(('뿌리', 'NNG'), 3)
(('파장', 'NNG'), 3)
(('추신', 'NNG'), 3)
(('소름', 'NNG'), 3)
(('화보', 'NNG'), 3)
(('적', 'NNB'), 3)
(('67', 'NR'), 3)
(('찌', 'NNG'), 3)
(('탁행', 'NNG'), 3)
(('정관', 'NNG'), 3)
(('후기', 'NNG'), 3)
(('안양', 'NNG'), 3)
(('공포', 'NNG'), 3)
(('완벽', 'NNG'), 3)
(('위엄', 'NNG'), 3)
(('시엔엔', 'NNG'), 3)
(('세종로', 'NNP'), 3)
(('박물관', 'NNG'), 3)
(('옥상', 'NNG'), 3)
(('장악', 'NNG'), 3)
(('타임스', 'NNG'), 3)
(('영국', 'NNG'), 3)
(('타스', 'NNP'), 3)
(('콩', 'NNG'), 3)
(('프랑스', 'NNG'), 3)
(('구속', 'NNG'), 3)
(('유어', 'NNG'), 3)
(('볼만', 'NNG'), 3)
(('도래', 'NNG'), 3)
(('정인', 'NNG'), 3)
(('천만인', 'NNG'), 3)
(('무죄', 'NNG'), 3)
(('여명', 'NNG'), 3)
(('교환', 'NNG'), 3)
(('자살', 'NNG'), 3)
(('시경', 'NNG'), 3)
(('제면', 'NNG'), 3)
(('전면', 'NNG'), 3)
(('고려', 'NNP'), 3)
(('공격', 'NNG'), 3)
(('프레임', 'NNG'), 3)
(('빅', 'NNG'), 3)
(('좌', 'NNG'), 3)
(('영어', 'NNG'), 3)
(('시선', 'NNG'), 3)
(('디저트', 'NNG'), 3)
(('이용', 'NNG'), 3)
(('최종', 'NNG'), 3)
(('프로', 'NNG'), 3)
(('혼', 'NNG'), 3)
(('성지', 'NNG'), 3)
(('100', 'NR'), 3)
(('현실', 'NNG'), 3)
(('튜브', 'NNG'), 3)
(('잡고', 'NNG'), 3)
(('개성', 'NNP'), 3)
(('대표부', 'NNG'), 3)
(('재개', 'NNG'), 3)
(('원칙', 'NNG'), 3)
(('정치적', 'NNG'), 3)
(('전부', 'NNG'), 3)
(('메시지', 'NNG'), 3)
(('해방', 'NNG'), 3)
(('김홍도', 'NNG'), 3)
(('사이비', 'NNG'), 3)
(('만발', 'NNG'), 3)
(('대전', 'NNG'), 3)
(('중앙일보', 'NNG'), 3)
(('가운데', 'NNG'), 3)
(('교회', 'NNG'), 3)
(('개선', 'NNG'), 3)
(('음악', 'NNG'), 3)
(('공식', 'NNG'), 3)
(('아픔', 'NNG'), 3)
(('의제', 'NNG'), 3)
(('어린이', 'NNG'), 3)
(('잼', 'NNG'), 3)
(('셀프', 'NNG'), 3)
(('아름', 'NNP'), 3)
(('자원', 'NNG'), 3)
(('운', 'NNG'), 3)
(('경협', 'NNG'), 3)
(('소폭', 'NNG'), 3)
(('어', 'NNG'), 3)
(('처단', 'NNG'), 3)
(('첫걸음', 'NNG'), 3)
(('교실', 'NNG'), 3)
(('간대', 'NNG'), 3)
(('섹스', 'NNG'), 3)
(('향식', 'NNG'), 3)
(('무엇', 'NP'), 3)
(('뷰어', 'NNG'), 3)
(('한국말', 'NNG'), 3)
(('맷돌', 'NNG'), 3)
(('10.4', 'NR'), 3)
(('엠', 'NNG'), 3)
(('며칠', 'NNG'), 3)
(('배웅', 'NNG'), 3)
(('마루', 'NNG'), 3)
(('사무소', 'NNG'), 3)
(('경의', 'NNG'), 3)
(('추진', 'NNG'), 3)
(('불편', 'NNG'), 3)
(('음식', 'NNG'), 3)
(('외', 'NNB'), 3)
(('감성', 'NNG'), 3)
(('태', 'NNG'), 3)
(('훈', 'NNG'), 3)
(('남성', 'NNG'), 3)
(('실제', 'NNG'), 3)
(('입주', 'NNG'), 3)
(('초등학생', 'NNG'), 3)
(('운운', 'NNG'), 3)
(('문구', 'NNG'), 3)
(('기록', 'NNG'), 3)
(('보임', 'NNG'), 3)
(('메르켈', 'NNG'), 3)
(('하지', 'NNG'), 3)
(('상승세', 'NNG'), 3)
(('페이스', 'NNG'), 3)
(('편지', 'NNG'), 3)
(('수십', 'NR'), 3)
(('평화적', 'NNG'), 3)
(('비준', 'NNG'), 3)
(('무기', 'NNG'), 3)
(('베를린', 'NNG'), 3)
(('보호', 'NNG'), 3)
(('70', 'NR'), 3)
(('52', 'NR'), 3)
(('균형', 'NNG'), 3)
(('350', 'NR'), 3)
(('낙', 'NNG'), 3)
(('메인', 'NNG'), 3)
(('투표', 'NNG'), 3)
(('낫', 'NNG'), 3)
(('빚', 'NNG'), 3)
(('도착', 'NNG'), 3)
(('외계', 'NNG'), 3)
(('앨범', 'NNG'), 3)
(('음', 'NNG'), 3)
(('짓', 'NNG'), 3)
(('그동안', 'NNG'), 3)
(('180427', 'NR'), 3)
(('틀', 'NNG'), 3)
(('인상', 'NNG'), 3)
(('경계', 'NNG'), 3)
(('난리', 'NNG'), 3)
(('스토어', 'NNG'), 3)
(('경남', 'NNP'), 3)
(('유엔', 'NNG'), 3)
(('줄', 'NNG'), 3)
(('명의', 'NNG'), 3)
(('부정', 'NNG'), 3)
(('심정', 'NNG'), 3)
(('소원', 'NNG'), 3)
(('은진', 'NNG'), 3)
(('조심', 'NNG'), 3)
(('공사', 'NNG'), 3)
(('굿', 'NNG'), 3)
(('밤샘', 'NNG'), 3)
(('반영', 'NNG'), 3)
(('시행', 'NNG'), 3)
(('나중', 'NNG'), 3)
(('폰', 'NNG'), 3)
(('막말', 'NNG'), 3)
(('게임', 'NNG'), 3)
(('부분', 'NNG'), 3)
(('무사', 'NNG'), 3)
(('최선', 'NNG'), 3)
(('소멸', 'NNG'), 3)
(('유지', 'NNG'), 3)
(('흠집', 'NNG'), 3)
(('외눈', 'NNG'), 3)
(('박이', 'NNG'), 3)
(('패거리', 'NNG'), 3)
(('리더', 'NNG'), 3)
(('두고', 'NNP'), 3)
(('타고', 'NNG'), 3)
(('협조', 'NNG'), 3)
(('악담', 'NNG'), 3)
(('철통', 'NNG'), 3)
(('경호', 'NNG'), 3)
(('대상', 'NNG'), 3)
(('원내', 'NNG'), 3)
(('외국인', 'NNG'), 3)
(('약', 'NNG'), 3)
(('경기', 'NNG'), 3)
(('검증', 'NNG'), 3)
(('여자', 'NNG'), 3)
(('2017', 'NR'), 3)
(('각계', 'NNG'), 3)
(('각층', 'NNG'), 3)
(('하', 'NNB'), 3)
(('거짓말', 'NNG'), 3)
(('북측', 'NNG'), 3)
(('판', 'NNG'), 3)
(('시베리아', 'NNG'), 3)
(('입법', 'NNG'), 3)
(('벗', 'NNG'), 3)
(('이해', 'NNG'), 3)
(('지도부', 'NNG'), 3)
(('49', 'NR'), 3)
(('좆', 'NNG'), 3)
(('일간지', 'NNG'), 3)
(('레이', 'NNG'), 3)
(('교육', 'NNG'), 3)
(('새끼', 'NNG'), 3)
(('종료', 'NNG'), 3)
(('걸', 'NNG'), 3)
(('군의', 'NNG'), 3)
(('군은', 'NNG'), 3)
(('정제', 'NNG'), 3)
(('다운', 'NNG'), 3)
(('500', 'NR'), 3)
(('염원', 'NNG'), 3)
(('고성', 'NNG'), 3)
(('나무', 'NNG'), 3)
(('평창동', 'NNP'), 3)
(('대담', 'NNG'), 3)
(('앵커', 'NNG'), 3)
(('편', 'NNG'), 3)
(('가능성', 'NNG'), 3)
(('미국인', 'NNG'), 3)
(('쓰레기', 'NNG'), 3)
(('파문', 'NNG'), 3)
(('향', 'NNG'), 3)
(('성명', 'NNG'), 3)
(('짐', 'NNG'), 3)
(('바', 'NNB'), 3)
(('친', 'NNG'), 3)
(('구분', 'NNG'), 3)
(('세계인', 'NNG'), 3)
(('신기', 'NNG'), 3)
(('청년', 'NNG'), 3)
(('회사', 'NNG'), 3)
(('평생', 'NNG'), 3)
(('남측', 'NNG'), 3)
(('안전', 'NNG'), 3)
(('집중', 'NNG'), 3)
(('축구', 'NNG'), 3)
(('자위', 'NNG'), 3)
(('물', 'NNG'), 3)
(('단계', 'NNG'), 3)
(('16', 'NR'), 3)
(('줄', 'NNB'), 3)
(('지랄', 'NNG'), 3)
(('급', 'NNM'), 3)
(('귀국', 'NNG'), 3)
(('재회', 'NNG'), 3)
(('저질', 'NNG'), 3)
(('초', 'NNB'), 3)
(('불능', 'NNG'), 3)
(('실질적', 'NNG'), 3)
(('심층', 'NNG'), 3)
(('이드', 'NNG'), 3)
(('독대', 'NNG'), 3)
(('봉사', 'NNG'), 3)
(('정국', 'NNG'), 3)
(('비중', 'NNG'), 3)
(('초점', 'NNG'), 3)
(('코', 'NNG'), 3)
(('홈페이지', 'NNG'), 3)
(('분명', 'NNG'), 3)
(('커피', 'NNG'), 3)
(('결과물', 'NNG'), 3)
(('입증', 'NNG'), 3)
(('개그', 'NNG'), 3)
(('유머', 'NNG'), 3)
(('사이', 'NNG'), 3)
(('자연', 'NNG'), 3)
(('먼지', 'NNG'), 3)
(('격', 'NNB'), 3)
(('시위', 'NNG'), 3)
(('종대', 'NNG'), 3)
(('포', 'NNG'), 3)
(('열차', 'NNG'), 3)
(('경비', 'NNG'), 3)
(('그대', 'NP'), 3)
(('기밀', 'NNG'), 3)
(('망', 'NNG'), 3)
(('꼴통', 'NNG'), 3)
(('가자', 'NNG'), 3)
(('546', 'NR'), 3)
(('봉', 'NNG'), 3)
(('짱', 'NNG'), 3)
(('후원', 'NNG'), 3)
(('일요', 'NNG'), 3)
(('북부선', 'NNG'), 3)
(('가게', 'NNG'), 3)
(('계기', 'NNG'), 3)
(('펀', 'NNB'), 3)
(('운영', 'NNG'), 3)
(('세일', 'NNG'), 3)
(('주사', 'NNG'), 3)
(('후지', 'NNG'), 3)
(('공천', 'NNG'), 3)
(('꼬라지', 'NNG'), 3)
(('팀', 'NNG'), 3)
(('진지', 'NNG'), 3)
(('모색', 'NNG'), 3)
(('밑천', 'NNG'), 3)
(('대박', 'NNG'), 3)
(('ㅇ', 'NNG'), 3)
(('금리', 'NNG'), 3)
(('동', 'NNM'), 3)
(('문화', 'NNG'), 3)
(('태경', 'NNG'), 3)
(('책임', 'NNG'), 3)
(('사항', 'NNG'), 3)
(('가습기', 'NNG'), 3)
(('유보', 'NNG'), 3)
(('온도차', 'NNG'), 3)
(('패', 'NNG'), 3)
(('우표', 'NNG'), 3)
(('언어', 'NNG'), 2)
(('은근', 'NNG'), 2)
(('매력', 'NNG'), 2)
(('진중', 'NNG'), 2)
(('비추', 'NNG'), 2)
(('적정', 'NNG'), 2)
(('추가', 'NNG'), 2)
(('데이터', 'NNG'), 2)
(('3200', 'NR'), 2)
(('가구', 'NNG'), 2)
(('중함', 'NNG'), 2)
(('물줄기', 'NNG'), 2)
(('왕래', 'NNG'), 2)
(('헛소리', 'NNG'), 2)
(('할거', 'NNG'), 2)
(('막판', 'NNG'), 2)
(('끼', 'NNG'), 2)
(('수일', 'NNG'), 2)
(('추월', 'NNG'), 2)
(('두개', 'NNG'), 2)
(('주문', 'NNG'), 2)
(('1140', 'NR'), 2)
(('지상파', 'NNG'), 2)
(('공영', 'NNG'), 2)
(('북조선', 'NNG'), 2)
(('승리', 'NNG'), 2)
(('투쟁', 'NNG'), 2)
(('잔소리', 'NNG'), 2)
(('기념사진', 'NNG'), 2)
(('포즈', 'NNG'), 2)
(('정덕', 'NNG'), 2)
(('정략적', 'NNG'), 2)
(('일반', 'NNG'), 2)
(('주입', 'NNG'), 2)
(('친문', 'NNG'), 2)
(('궤멸', 'NNG'), 2)
(('과격', 'NNG'), 2)
(('변신', 'NNG'), 2)
(('수교', 'NNG'), 2)
(('기와', 'NNG'), 2)
(('공당', 'NNG'), 2)
(('추종', 'NNG'), 2)
(('몰두', 'NNG'), 2)
(('분리', 'NNG'), 2)
(('제거', 'NNG'), 2)
(('안동', 'NNP'), 2)
(('충성', 'NNG'), 2)
(('충성심', 'NNG'), 2)
(('통보', 'NNG'), 2)
(('하드', 'NNG'), 2)
(('표랑', 'NNG'), 2)
(('측근', 'NNG'), 2)
(('제재', 'NNG'), 2)
(('송출', 'NNG'), 2)
(('친일파', 'NNG'), 2)
(('정상적', 'NNG'), 2)
(('본심', 'NNG'), 2)
(('그네', 'NNG'), 2)
(('통원', 'NNG'), 2)
(('감방', 'NNG'), 2)
(('주라', 'NNG'), 2)
(('구원', 'NNG'), 2)
(('딴죽', 'NNG'), 2)
(('자료', 'NNG'), 2)
(('라인', 'NNG'), 2)
(('밑', 'NNG'), 2)
(('표현법', 'NNG'), 2)
(('자주성', 'NNG'), 2)
(('애민', 'NNG'), 2)
(('애족', 'NNG'), 2)
(('암시적', 'NNG'), 2)
(('소품', 'NNG'), 2)
(('광주시', 'NNG'), 2)
(('교육청', 'NNG'), 2)
(('중고', 'NNG'), 2)
(('교사', 'NNG'), 2)
(('조선학', 'NNG'), 2)
(('폭소', 'NNG'), 2)
(('대륙', 'NNG'), 2)
(('시발점', 'NNG'), 2)
(('발신지', 'NNG'), 2)
(('만과', 'NNG'), 2)
(('셔틀', 'NNG'), 2)
(('본격화', 'NNG'), 2)
(('주재', 'NNG'), 2)
(('자해', 'NNG'), 2)
(('위시', 'NNG'), 2)
(('빈대', 'NNG'), 2)
(('효자동', 'NNP'), 2)
(('댈러스', 'NNG'), 2)
(('수의', 'NNG'), 2)
(('아주', 'NNP'), 2)
(('쌍방', 'NNG'), 2)
(('지속적', 'NNG'), 2)
(('화보집', 'NNG'), 2)
(('대궐', 'NNG'), 2)
(('37', 'NR'), 2)
(('제일', 'NNG'), 2)
(('교포', 'NNG'), 2)
(('한복판', 'NNG'), 2)
(('오사카', 'NNG'), 2)
(('한인회', 'NNG'), 2)
(('미우', 'NNG'), 2)
(('산케이', 'NNG'), 2)
(('신문사', 'NNG'), 2)
(('퇴임', 'NNG'), 2)
(('54', 'NR'), 2)
(('21', 'NR'), 2)
(('비둘기', 'NNG'), 2)
(('지지층', 'NNG'), 2)
(('끈', 'NNG'), 2)
(('좌우간', 'NNG'), 2)
