PSOTIVOS: 
(('남북', 'NNG'), 2998)  Dos coreas
(('자유', 'NNG'), 66)
(('면', 'NNG'), 65)
(('감동', 'NNG'), 64)
(('나', 'NP'), 64)
(('오연', 'NNG'), 64)
(('새', 'NNG'), 63)
(('8', 'NR'), 63)
(('위', 'NNG'), 63)
(('기념', 'NNG'), 63)
(('어제', 'NNG'), 63)
(('쇼', 'NNG'), 63)
(('냉면', 'NNG'), 63)
(('북미', 'NNG'), 61)
(('역풍', 'NNG'), 61)
(('현지', 'NNG'), 60)
(('박수', 'NNG'), 59)
(('환영', 'NNG'), 58)
(('임진', 'NNG'), 58)
(('결과', 'NNG'), 57)
(('관객', 'NNG'), 57)
(('기립', 'NNG'), 57)
(('대한민국', 'NNG'), 57)
(('일본', 'NNG'), 56)
(('장', 'NNG'), 56)
(('불어', 'NNG'), 55)
(('9', 'NR'), 55)
(('보수', 'NNG'), 55)
(('봄', 'NNG'), 54)
(('저', 'NP'), 54)
(('말', 'NNG'), 54)
(('기자', 'NNG'), 53)
(('때', 'NNG'), 52)
(('동영상', 'NNG'), 52)
(('6', 'NR'), 52)
(('7', 'NR'), 51)
(('각서', 'NNG'), 51)
(('공세', 'NNG'), 51)
(('평양', 'NNP'), 51)
(('합의', 'NNG'), 50)
(('중', 'NNB'), 49)
(('훈풍', 'NNG'), 49)
(('월', 'NNM'), 49)
(('내용', 'NNG'), 48)
(('순간', 'NNG'), 48)
(('오늘', 'NNG'), 48)
(('이번', 'NNG'), 48)
(('그룹', 'NNG'), 47)
(('노동', 'NNG'), 47)
(('통신', 'NNG'), 45)
(('안', 'NNG'), 45)
(('등', 'NNB'), 44)
(('완전', 'NNG'), 43)
(('분', 'NNM'), 43)
(('0', 'NR'), 42)
(('현', 'NNG'), 42)
(('민', 'NNG'), 42)
(('장면', 'NNG'), 41)
(('이재명', 'NNG'), 41)
(('경원', 'NNG'), 41)
(('30', 'NR'), 41)
(('모바일', 'NNG'), 41)
(('언론', 'NNG'), 41)
(('일등', 'NNG'), 41)
(('인터넷', 'NNG'), 41)
(('특집', 'NNG'), 41)
(('곳', 'NNG'), 40)
(('사이트', 'NNG'), 40)
(('나라', 'NNG'), 40)
(('로그', 'NNG'), 39)
(('청와대', 'NNG'), 39)
(('식', 'NNG'), 39)
