(('회담', 'NNG'), 333)  Summit
(('건', 'NNM'), 7)
(('억', 'NR'), 7)
(('분', 'NNM'), 7)
(('7', 'NR'), 7)
(('언급', 'NNG'), 7)
(('니', 'NP'), 7)
(('훈풍', 'NNG'), 7)
(('니들', 'NNG'), 7)
(('야당', 'NNG'), 7)
(('검찰', 'NNG'), 7)
(('성동', 'NNP'), 7)
(('장면', 'NNG'), 7)
(('개', 'NNG'), 7)
(('비판', 'NNG'), 7)
(('은', 'NNG'), 7)
(('비난', 'NNG'), 7)
(('손', 'NNG'), 7)
(('단체', 'NNG'), 7)
(('성공', 'NNG'), 7)
(('노무현', 'NNG'), 7)
(('5', 'NR'), 7)
(('공유', 'NNG'), 7)
(('포기', 'NNG'), 7)
(('태', 'NNG'), 6)
(('본인', 'NNG'), 6)
(('때문', 'NNB'), 6)
(('충성', 'NNG'), 6)
(('뿔', 'NNG'), 6)
(('행사', 'NNG'), 6)
(('혐의', 'NNG'), 6)
(('0', 'NR'), 6)
(('행동', 'NNG'), 6)
(('대화', 'NNG'), 6)
(('시', 'NNG'), 6)
(('통화', 'NNG'), 6)
(('홍분', 'NNG'), 6)
(('도로', 'NNG'), 6)
(('놈', 'NNB'), 6)
(('데', 'NNB'), 6)
(('이', 'NNG'), 6)
(('통', 'NNG'), 6)
(('상황', 'NNG'), 6)
(('한반도', 'NNG'), 6)
(('줄', 'NNG'), 6)
(('밥', 'NNG'), 6)
(('뉴', 'NNG'), 6)
(('행태', 'NNG'), 6)
(('진짜', 'NNG'), 6)
(('파', 'NNG'), 6)
(('수미', 'NNG'), 6)
(('고', 'NNG'), 6)
(('협정', 'NNG'), 6)
(('피', 'NNG'), 6)
(('년', 'NNB'), 6)
(('백패', 'NNG'), 6)
(('용인', 'NNG'), 6)
(('좌파', 'NNG'), 5)
(('표의', 'NNG'), 5)
(('쓰레기', 'NNG'), 5)
(('인간', 'NNG'), 5)
(('민심', 'NNG'), 5)
(('민', 'NNG'), 5)
(('칭찬', 'NNG'), 5)
(('경제', 'NNG'), 5)
(('터', 'NNB'), 5)
(('분간', 'NNG'), 5)
(('개', 'NNM'), 5)
(('납북', 'NNG'), 5)
(('결국', 'NNG'), 5)
(('오', 'NNG'), 5)
(('명', 'NNM'), 5)
(('폐기', 'NNG'), 5)
(('댓', 'NR'), 5)
(('빵', 'NNG'), 5)
(('노', 'NNG'), 5)
(('10', 'NR'), 5)
(('우', 'NNG'), 5)
(('속', 'NNG'), 5)
(('누', 'NNG'), 5)
(('시험', 'NNG'), 5)
(('지지율', 'NNG'), 5)
(('소식', 'NNG'), 5)
(('공동', 'NNG'), 5)
(('눈물', 'NNG'), 5)
(('이야기', 'NNG'), 5)
(('시스', 'NNP'), 5)
(('그것', 'NP'), 5)
(('조선', 'NNG'), 5)
(('공연', 'NNG'), 5)
(('듯', 'NNB'), 5)
(('보수', 'NNG'), 5)
(('태극기', 'NNG'), 5)
(('대북', 'NNG'), 5)
(('소', 'NNG'), 5)
(('선언문', 'NNG'), 5)
(('여기', 'NP'), 5)
(('선거', 'NNG'), 5)
(('청구', 'NNG'), 5)
(('완전', 'NNG'), 5)
(('사건', 'NNG'), 5)
(('월', 'NNM'), 5)
(('지금', 'NNG'), 5)
(('기자', 'NNG'), 5)
(('밖', 'NNG'), 5)
(('무엇', 'NNG'), 5)
(('씨', 'NNG'), 5)
(('하라', 'NNP'), 5)
(('거지', 'NNG'), 5)
(('조폭', 'NNG'), 5)
(('리', 'NNB'), 5)
(('히', 'NNG'), 4)
(('현송', 'NNG'), 4)
(('월', 'NNG'), 4)
(('안동', 'NNP'), 4)
(('김대중', 'NNG'), 4)
(('국', 'NNG'), 4)
(('연출', 'NNG'), 4)
(('모든', 'NNP'), 4)
(('폰', 'NNG'), 4)
(('석', 'NNG'), 4)
(('표가', 'NNG'), 4)
(('장밋빛', 'NNG'), 4)
(('월드컵', 'NNG'), 4)
(('달러', 'NNG'), 4)
(('효과', 'NNG'), 4)
(('투자', 'NNG'), 4)
(('배', 'NNG'), 4)
(('75', 'NR'), 4)
(('혼수성', 'NNG'), 4)
(('망', 'NNG'), 4)
(('차', 'NNM'), 4)
(('타고', 'NNG'), 4)
(('상태', 'NNG'), 4)
(('한', 'NNG'), 4)
(('힘', 'NNG'), 4)
(('국회', 'NNG'), 4)
(('주제', 'NNG'), 4)
(('의미', 'NNG'), 4)
(('주차', 'NNG'), 4)
(('대행', 'NNG'), 4)
(('원', 'NNG'), 4)
(('집단', 'NNG'), 4)
(('입', 'NNG'), 4)
(('환영', 'NNG'), 4)
(('협상', 'NNG'), 4)
(('정부', 'NNG'), 4)
(('신문', 'NNG'), 4)
(('공', 'NNG'), 4)
(('대구', 'NNG'), 4)
(('주민', 'NNG'), 4)
(('쪽', 'NNB'), 4)
(('강원', 'NNG'), 4)
(('로', 'NNG'), 4)
(('모두', 'NNG'), 4)
(('발정', 'NNG'), 4)
(('시청', 'NNG'), 4)
(('사이', 'NNG'), 4)
(('새', 'NNG'), 4)
(('시작', 'NNG'), 4)
(('레', 'NNG'), 4)
(('정신', 'NNG'), 4)
(('박', 'NNG'), 4)
(('노래', 'NNG'), 4)
(('동안', 'NNG'), 4)
(('욕', 'NNG'), 4)
(('얘기', 'NNG'), 4)
(('꿀', 'NNG'), 4)
